concurrency,prompt_type,cache,stop,ttft_ms,tokens_per_sec,latency_ms,p50_ms,p95_ms,p99_ms
1,short,on,none,95734.74,28.15,96053.31,68349.25,93282.90,95499.22
1,short,on,none,40329.95,28.50,40645.19,68349.25,93282.90,95499.22
1,short,on,newline,46207.98,28.42,46522.66,77722.65,105802.63,108298.63
1,short,on,newline,108607.44,28.03,108922.63,77722.65,105802.63,108298.63
1,short,off,none,120056.26,22.51,120454.32,82700.60,116678.94,119699.24
1,short,off,none,44522.14,21.34,44946.89,82700.60,116678.94,119699.24
1,short,off,newline,37159.89,23.18,37551.67,21523.89,35948.89,37231.12
1,short,off,newline,5067.34,21.45,5496.11,21523.89,35948.89,37231.12
1,long,on,none,5857.44,18.03,20604.34,20284.42,20572.35,20597.94
1,long,on,none,7371.24,20.67,19964.50,20284.42,20572.35,20597.94
1,long,on,newline,5502.82,22.01,8367.21,8061.46,8336.64,8361.10
1,long,on,newline,5072.89,21.22,7755.71,8061.46,8336.64,8361.10
1,long,off,none,4547.68,23.30,15780.33,15885.30,15979.76,15988.16
1,long,off,none,4833.59,23.26,15990.26,15885.30,15979.76,15988.16
1,long,off,newline,47359.35,23.52,51049.19,51523.99,51951.31,51989.29
1,long,off,newline,47944.19,23.97,51998.79,51523.99,51951.31,51989.29
2,short,on,none,15154.02,25.40,15508.62,18515.45,21202.65,21210.25
2,short,on,none,15552.92,27.70,15882.09,18515.45,21202.65,21210.25
2,short,on,none,20803.32,26.05,21148.81,18515.45,21202.65,21210.25
2,short,on,none,20816.74,23.37,21212.15,18515.45,21202.65,21210.25
2,short,on,newline,48909.16,27.80,49235.38,50456.97,51295.01,51295.08
2,short,on,newline,49278.57,26.72,49619.39,50456.97,51295.01,51295.08
2,short,on,newline,50968.68,27.65,51295.09,50456.97,51295.01,51295.08
2,short,on,newline,50954.06,26.71,51294.54,50456.97,51295.01,51295.08
2,short,off,none,17942.31,27.05,18279.12,18521.01,18636.81,18652.01
2,short,off,none,18319.33,27.11,18655.82,18521.01,18636.81,18652.01
2,short,off,none,18172.96,26.85,18512.93,18521.01,18636.81,18652.01
2,short,off,none,18179.84,26.23,18529.09,18521.01,18636.81,18652.01
2,short,off,newline,5912.47,26.75,6252.01,6681.59,6734.53,6735.62
2,short,off,newline,6296.08,26.77,6636.42,6681.59,6734.53,6735.62
2,short,off,newline,6390.89,26.93,6726.75,6681.59,6734.53,6735.62
2,short,off,newline,6391.04,26.68,6735.90,6681.59,6734.53,6735.62
2,long,on,none,7133.17,23.55,18141.35,29374.63,29603.72,29607.79
2,long,on,none,18192.85,23.67,29174.40,29374.63,29603.72,29607.79
2,long,on,none,18698.54,23.78,29608.81,29374.63,29603.72,29607.79
2,long,on,none,18621.85,23.65,29574.87,29374.63,29603.72,29607.79
2,long,on,newline,6162.50,22.93,9376.64,12444.11,15659.30,16068.82
2,long,on,newline,9429.98,24.00,12129.71,12444.11,15659.30,16068.82
2,long,on,newline,9557.02,23.79,12758.51,12444.11,15659.30,16068.82
2,long,on,newline,12771.45,23.67,16171.21,12444.11,15659.30,16068.82
2,long,off,none,28867.82,23.48,39956.84,42379.05,50604.18,51423.42
2,long,off,none,40008.94,22.40,51628.23,42379.05,50604.18,51423.42
2,long,off,none,21889.18,19.35,35402.17,42379.05,50604.18,51423.42
2,long,off,none,23911.76,12.67,44801.25,42379.05,50604.18,51423.42
2,long,off,newline,118534.16,21.76,122433.73,121510.47,127154.69,127821.18
2,long,off,newline,122500.42,21.54,127987.80,121510.47,127154.69,127821.18
2,long,off,newline,117403.93,20.97,120587.21,121510.47,127154.69,127821.18
2,long,off,newline,115087.79,22.47,119268.81,121510.47,127154.69,127821.18
4,short,on,none,34549.57,23.03,34935.79,36583.49,36898.70,36901.87
4,short,on,none,34984.02,21.62,35406.88,36583.49,36898.70,36901.87
4,short,on,none,35453.84,22.69,35854.49,36583.49,36898.70,36901.87
4,short,on,none,35914.35,23.28,36304.32,36583.49,36898.70,36901.87
4,short,on,none,36034.96,10.85,36902.66,36583.49,36898.70,36901.87
4,short,on,none,36482.30,22.41,36891.35,36583.49,36898.70,36901.87
4,short,on,none,36488.71,22.63,36891.15,36583.49,36898.70,36901.87
4,short,on,none,36494.46,24.70,36862.67,36583.49,36898.70,36901.87
4,short,on,newline,105486.17,22.73,105888.04,114190.30,121111.43,121125.40
4,short,on,newline,105939.97,21.78,106357.65,114190.30,121111.43,121125.40
4,short,on,newline,106415.88,22.11,106850.45,114190.30,121111.43,121125.40
4,short,on,newline,106879.31,19.73,107383.69,114190.30,121111.43,121125.40
4,short,on,newline,120568.39,20.10,121022.34,114190.30,121111.43,121125.40
4,short,on,newline,120655.37,19.15,121128.89,114190.30,121111.43,121125.40
4,short,on,newline,120684.08,23.02,121078.99,114190.30,121111.43,121125.40
4,short,on,newline,120592.06,22.53,120996.91,114190.30,121111.43,121125.40
4,short,off,none,38037.21,18.82,38525.46,40313.07,40822.49,40836.54
4,short,off,none,38580.46,22.08,38992.45,40313.07,40822.49,40836.54
4,short,off,none,39042.72,22.78,39441.58,40313.07,40822.49,40836.54
4,short,off,none,39491.92,23.36,39881.70,40313.07,40822.49,40836.54
4,short,off,none,40469.27,24.41,40840.06,40313.07,40822.49,40836.54
4,short,off,none,40422.72,24.75,40789.87,40313.07,40822.49,40836.54
4,short,off,none,40384.27,23.96,40764.05,40313.07,40822.49,40836.54
4,short,off,none,40371.23,24.43,40744.44,40313.07,40822.49,40836.54
4,short,off,newline,3154.48,20.40,3605.00,5200.92,5504.54,5508.58
4,short,off,newline,3657.38,22.08,4071.25,5200.92,5504.54,5508.58
4,short,off,newline,4128.74,21.63,4549.23,5200.92,5504.54,5508.58
4,short,off,newline,4600.45,22.52,5006.73,5200.92,5504.54,5508.58
4,short,off,newline,5152.91,24.77,5509.59,5200.92,5504.54,5508.58
4,short,off,newline,5091.44,22.56,5495.15,5200.92,5504.54,5508.58
4,short,off,newline,5064.61,24.90,5429.77,5200.92,5504.54,5508.58
4,short,off,newline,5017.14,24.32,5395.11,5200.92,5504.54,5508.58
4,long,on,none,4878.92,21.73,16813.44,45289.01,50908.24,51776.93
4,long,on,none,16864.77,20.88,29318.89,45289.01,50908.24,51776.93
4,long,on,none,29387.29,22.31,41029.96,45289.01,50908.24,51776.93
